"subject_uri","property_uri","label","import_metadata"
"http://data.bnf.fr/ark:/12148/cb12528863r#about","http://www.w3.org/2000/01/rdf-schema#label","François Para Du Phanjas","20221204_5"
"http://data.bnf.fr/ark:/12148/cb13196726p#about","http://www.w3.org/2000/01/rdf-schema#label","Jean-Baptiste de Laborde","20221204_5"
"http://data.bnf.fr/ark:/12148/cb154028305#about","http://www.w3.org/2000/01/rdf-schema#label","Johannes Werner","20221204_5"
"http://data.bnf.fr/ark:/12148/cb162243089#about","http://www.w3.org/2000/01/rdf-schema#label","Luca Cagnazzi de Samuele","20221204_5"
"http://data.bnf.fr/ark:/12148/cb11563608j#about","http://www.w3.org/2000/01/rdf-schema#label","Wilhelm Christian Müller","20221204_5"
"http://data.bnf.fr/ark:/12148/cb123670586#about","http://www.w3.org/2000/01/rdf-schema#label","John Keill","20221204_5"
"http://data.bnf.fr/ark:/12148/cb179491766#about","http://www.w3.org/2000/01/rdf-schema#label","Juan Cedillo Díaz","20221204_5"
"http://data.bnf.fr/ark:/12148/cb12563197r#about","http://www.w3.org/2000/01/rdf-schema#label","Valentin Mennher","20221204_5"
"http://data.bnf.fr/ark:/12148/cb10692885z#about","http://www.w3.org/2000/01/rdf-schema#label","Nicolas Philippe Ledru","20221204_5"
"http://data.bnf.fr/ark:/12148/cb156085068#about","http://www.w3.org/2000/01/rdf-schema#label","George Shelley","20221204_5"
"http://data.bnf.fr/ark:/12148/cb16215104d#about","http://www.w3.org/2000/01/rdf-schema#label","P. Jacques de Guernisac","20221204_5"
"http://data.bnf.fr/ark:/12148/cb10362067p#about","http://www.w3.org/2000/01/rdf-schema#label","James Lockhart","20221204_5"
"http://data.bnf.fr/ark:/12148/cb10686960n#about","http://www.w3.org/2000/01/rdf-schema#label","Guillaume","20221204_5"
"http://data.bnf.fr/ark:/12148/cb10642820b#about","http://www.w3.org/2000/01/rdf-schema#label","Georges-Louis Lesage","20221204_5"
"http://data.bnf.fr/ark:/12148/cb11914242h#about","http://www.w3.org/2000/01/rdf-schema#label","Antonio Manetti","20221204_5"
"http://data.bnf.fr/ark:/12148/cb11935908x#about","http://www.w3.org/2000/01/rdf-schema#label","Erhard Weigel","20221204_5"
"http://data.bnf.fr/ark:/12148/cb119941019#about","http://www.w3.org/2000/01/rdf-schema#label","Simon Stevin","20221204_5"
"http://data.bnf.fr/ark:/12148/cb12112257t#about","http://www.w3.org/2000/01/rdf-schema#label","Jean-Baptiste Labey","20221204_5"
"http://data.bnf.fr/ark:/12148/cb121468483#about","http://www.w3.org/2000/01/rdf-schema#label","Agricol-Joseph-François-Xavier-Pierre-Esprit-Simon-Paul-Antoine Fortia d'Urban","20221204_5"
"http://data.bnf.fr/ark:/12148/cb12157666x#about","http://www.w3.org/2000/01/rdf-schema#label","Leonhard Euler","20221204_5"
"http://data.bnf.fr/ark:/12148/cb12190253m#about","http://www.w3.org/2000/01/rdf-schema#label","Robert Argand","20221204_5"
"http://data.bnf.fr/ark:/12148/cb12487306c#about","http://www.w3.org/2000/01/rdf-schema#label","Silvestre-François Lacroix","20221204_5"
"http://data.bnf.fr/ark:/12148/cb12516784r#about","http://www.w3.org/2000/01/rdf-schema#label","Giovanni Gaetano Bottari","20221204_5"
"http://data.bnf.fr/ark:/12148/cb12546680q#about","http://www.w3.org/2000/01/rdf-schema#label","Giovanni Battista Riccioli","20221204_5"
"http://data.bnf.fr/ark:/12148/cb14065311n#about","http://www.w3.org/2000/01/rdf-schema#label","Georg Matthias Bose","20221204_5"
"http://data.bnf.fr/ark:/12148/cb143383238#about","http://www.w3.org/2000/01/rdf-schema#label","Leonhard Christoph Sturm","20221204_5"
"http://data.bnf.fr/ark:/12148/cb10645118k#about","http://www.w3.org/2000/01/rdf-schema#label","Joachim Sterck van Ringelberg","20221204_5"
"http://data.bnf.fr/ark:/12148/cb10732099c#about","http://www.w3.org/2000/01/rdf-schema#label","Francesco Ottavio Magnocavalli","20221204_5"
"http://data.bnf.fr/ark:/12148/cb11895137c#about","http://www.w3.org/2000/01/rdf-schema#label","Gerolamo Cardano","20221204_5"
"http://data.bnf.fr/ark:/12148/cb12169780f#about","http://www.w3.org/2000/01/rdf-schema#label","Pedro de Medina","20221204_5"
"http://data.bnf.fr/ark:/12148/cb121741380#about","http://www.w3.org/2000/01/rdf-schema#label","Johann Schultz","20221204_5"
"http://data.bnf.fr/ark:/12148/cb121925904#about","http://www.w3.org/2000/01/rdf-schema#label","Charles-Joseph Mathon de La Cour","20221204_5"
"http://data.bnf.fr/ark:/12148/cb12192922r#about","http://www.w3.org/2000/01/rdf-schema#label","Christiaan Huygens","20221204_5"
