"p","effectif"
"http://xmlns.com/foaf/0.1/depiction","9955"
"http://www.w3.org/2002/07/owl#sameAs","3462"
"http://rdvocab.info/ElementsGr2/biographicalInformation","1328"
"http://rdaregistry.info/Elements/a/#P50113","1328"
"http://xmlns.com/foaf/0.1/familyName","1079"
"http://rdaregistry.info/Elements/a/#P50121","1079"
"http://vocab.org/bio/0.1/death","1079"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type","1079"
"http://data.bnf.fr/ontology/bnf-onto/firstYear","1079"
"http://xmlns.com/foaf/0.1/page","1079"
"http://vocab.org/bio/0.1/birth","1079"
"http://rdvocab.info/ElementsGr2/dateOfBirth","1079"
"http://rdaregistry.info/Elements/a/#P50102","1075"
"http://rdvocab.info/ElementsGr2/languageOfThePerson","1075"
"http://rdaregistry.info/Elements/a/#P50120","1054"
"http://data.bnf.fr/ontology/bnf-onto/lastYear","1054"
"http://rdvocab.info/ElementsGr2/dateOfDeath","1054"
"http://xmlns.com/foaf/0.1/givenName","1050"
"http://xmlns.com/foaf/0.1/name","1050"
"http://rdvocab.info/ElementsGr2/countryAssociatedWithThePerson","1042"
"http://rdaregistry.info/Elements/a/#P50097","1042"
"http://xmlns.com/foaf/0.1/gender","949"
"http://rdaregistry.info/Elements/a/#P50119","697"
"http://rdvocab.info/ElementsGr2/placeOfBirth","697"
"http://rdvocab.info/ElementsGr2/placeOfDeath","645"
"http://rdaregistry.info/Elements/a/#P50118","645"
"http://xmlns.com/foaf/0.1/birthday","591"
"http://rdvocab.info/ElementsGr2/fieldOfActivityOfThePerson","446"
"http://rdaregistry.info/Elements/a/#P50100","446"
"http://rdaregistry.info/Elements/a/#P50098","19"
"http://rdvocab.info/ElementsGr2/periodOfActivityOfThePerson","19"
"http://www.w3.org/2000/01/rdf-schema#seeAlso","6"
