"p","effectif"
"http://purl.org/dc/terms/contributor","24980"
"http://id.loc.gov/vocabulary/relators/aut","16930"
"http://data.bnf.fr/vocabulary/roles/r70","16827"
"http://purl.org/dc/terms/subject","5244"
"http://id.loc.gov/vocabulary/relators/ctg","3366"
"http://data.bnf.fr/vocabulary/roles/r150","3254"
"http://id.loc.gov/vocabulary/relators/edt","1472"
"http://data.bnf.fr/vocabulary/roles/r360","1472"
"http://id.loc.gov/vocabulary/relators/bsl","1086"
"http://xmlns.com/foaf/0.1/focus","1079"
"http://data.bnf.fr/vocabulary/roles/r9990","945"
"http://data.bnf.fr/vocabulary/roles/r3260","650"
"http://data.bnf.fr/vocabulary/roles/r680","490"
"http://id.loc.gov/vocabulary/relators/trl","490"
"http://data.bnf.fr/vocabulary/roles/r72","317"
"http://id.loc.gov/vocabulary/relators/ant","317"
"http://data.bnf.fr/vocabulary/roles/r3300","276"
"http://id.loc.gov/vocabulary/relators/pbl","256"
"http://data.bnf.fr/vocabulary/roles/r3250","256"
"http://purl.org/dc/terms/creator","178"
"http://data.bnf.fr/vocabulary/roles/r3030","145"
"http://id.loc.gov/vocabulary/relators/drm","99"
"http://data.bnf.fr/vocabulary/roles/r152","95"
"http://data.bnf.fr/vocabulary/roles/r71","95"
"http://id.loc.gov/vocabulary/relators/att","94"
"http://data.bnf.fr/vocabulary/roles/r120","93"
"http://id.loc.gov/vocabulary/relators/cwt","93"
"http://data.bnf.fr/vocabulary/roles/r310","85"
"http://id.loc.gov/vocabulary/relators/egr","81"
"http://data.bnf.fr/vocabulary/roles/r410","79"
"http://id.loc.gov/vocabulary/relators/cmp","75"
"http://data.bnf.fr/vocabulary/roles/r220","73"
"http://data.bnf.fr/vocabulary/roles/r550","71"
"http://id.loc.gov/vocabulary/relators/aui","71"
"http://data.bnf.fr/vocabulary/roles/r620","69"
"http://id.loc.gov/vocabulary/relators/red","69"
"http://id.loc.gov/vocabulary/relators/ann","66"
"http://id.loc.gov/vocabulary/relators/fmo","64"
"http://data.bnf.fr/vocabulary/roles/r4010","64"
"http://id.loc.gov/vocabulary/relators/crr","63"
"http://data.bnf.fr/vocabulary/roles/r280","63"
"http://data.bnf.fr/vocabulary/roles/r40","62"
"http://id.loc.gov/vocabulary/relators/clb","58"
