"subject_uri","property","object_uri","import_metadata"
"http://data.bnf.fr/ark:/12148/cb12160567h#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Jean_Vit%C3%A9z","20221204_6"
"http://data.bnf.fr/ark:/12148/cb12440997n#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Al-Qalasadi","20221204_6"
"http://data.bnf.fr/ark:/12148/cb12060279h#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Piero_della_Francesca","20221204_6"
"http://data.bnf.fr/ark:/12148/cb12374660w#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Georg_von_Peuerbach","20221204_6"
"http://data.bnf.fr/ark:/12148/cb11914242h#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Antonio_Manetti","20221204_6"
"http://data.bnf.fr/ark:/12148/cb123298807#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Giovanni_Pontano","20221204_6"
"http://data.bnf.fr/ark:/12148/cb12380800t#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Pellegrino_Prisciani","20221204_6"
"http://data.bnf.fr/ark:/12148/cb12159829r#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Regiomontanus","20221204_6"
"http://data.bnf.fr/ark:/12148/cb15045509c#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Cosimo_Rosselli","20221204_6"
"http://data.bnf.fr/ark:/12148/cb165324540#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Nilakantha_Somayaji","20221204_6"
"http://data.bnf.fr/ark:/12148/cb11193453r#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Albert_Brudzewski","20221204_6"
"http://data.bnf.fr/ark:/12148/cb11918350c#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Luca_Pacioli","20221204_6"
"http://data.bnf.fr/ark:/12148/cb12377294t#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Eliyahou_Mizrahi","20221204_6"
"http://data.bnf.fr/ark:/12148/cb16671322v#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Domenico_Maria_Novara","20221204_6"
"http://data.bnf.fr/ark:/12148/cb16546093z#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Juan_de_Z%C3%BA%C3%B1iga_y_Pimentel","20221204_6"
"http://data.bnf.fr/ark:/12148/cb154028305#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Johannes_Werner","20221204_6"
"http://data.bnf.fr/ark:/12148/cb15029346k#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Jacob_Ziegler","20221204_6"
"http://data.bnf.fr/ark:/12148/cb145261194#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Trifone_Gabriel","20221204_6"
"http://data.bnf.fr/ark:/12148/cb128071494#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Pedro_S%C3%A1nchez_Ciruelo","20221204_6"
"http://data.bnf.fr/ark:/12148/cb12234610b#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Josse_Clichtove","20221204_6"
"http://data.bnf.fr/ark:/12148/cb118976048#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Nicolas_Copernic","20221204_6"
"http://data.bnf.fr/ark:/12148/cb14434984b#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Francisco_L%C3%B3pez_de_Villalobos","20221204_6"
"http://data.bnf.fr/ark:/12148/cb12033590z#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Bartolomeo_Zamberti","20221204_6"
"http://data.bnf.fr/ark:/12148/cb13184675x#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Paul_Giustiniani","20221204_6"
"http://data.bnf.fr/ark:/12148/cb134849440#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Luca_Gaurico","20221204_6"
"http://data.bnf.fr/ark:/12148/cb119992233#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Johann_Sch%C3%B6ner","20221204_6"
"http://data.bnf.fr/ark:/12148/cb120587788#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Girolamo_Fracastoro","20221204_6"
"http://data.bnf.fr/ark:/12148/cb118932166#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Charles_de_Bovelles","20221204_6"
"http://data.bnf.fr/ark:/12148/cb122157991#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Celio_Calcagnini","20221204_6"
"http://data.bnf.fr/ark:/12148/cb12195640k#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Vannoccio_Biringuccio","20221204_6"
"http://data.bnf.fr/ark:/12148/cb12795734z#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Michael_Stifel","20221204_6"
"http://data.bnf.fr/ark:/12148/cb17001696w#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Nicolaus_Kratzer","20221204_6"
"http://data.bnf.fr/ark:/12148/cb11996987j#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Sebastian_M%C3%BCnster","20221204_6"
"http://data.bnf.fr/ark:/12148/cb14593871w#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Georg_Hartmann","20221204_6"
"http://data.bnf.fr/ark:/12148/cb10448635x#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Albert_Pighius","20221204_6"
"http://data.bnf.fr/ark:/12148/cb10734904t#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Heinrich_Schreiber","20221204_6"
"http://data.bnf.fr/ark:/12148/cb12515817n#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Johannes_Buteo","20221204_6"
"http://data.bnf.fr/ark:/12148/cb12496891s#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Adam_Ries","20221204_6"
"http://data.bnf.fr/ark:/12148/cb12169780f#about","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Pedro_de_Medina","20221204_6"
