"generation","occupation_class","effectif"
"1441_1460",Astronomie,2
"1461_1480",Astronomie,1
"1461_1480",Clergé et théologiens,1
"1461_1480",Mathématiques,1
"1481_1500",Astrologie,1
"1481_1500",Clergé et théologiens,1
"1481_1500",Mathématiques,1
"1481_1500",Médecine et sciences médicales,2
"1481_1500",Philosophie,1
"1481_1500",Politique et militaire,1
"1481_1500",Sciences humaines/historiques,1
"1481_1500",Sciences occultes,1
"1501_1520",Astrologie,1
"1501_1520",Astronomie,2
"1501_1520",Mathématiques,3
"1501_1520",Sciences humaines/historiques,2
"1521_1540",Astrologie,1
"1521_1540",Astronomie,1
"1521_1540",Chimie et alchimie,1
"1521_1540",Clergé et théologiens,1
"1521_1540",Mathématiques,4
"1521_1540",Politique et militaire,1
"1521_1540",Sciences humaines/historiques,2
"1521_1540",Sciences occultes,1
"1521_1540",Sciences productives,1
"1541_1560",Astrologie,1
"1541_1560",Astronomie,2
"1541_1560",Chimie et alchimie,1
"1541_1560",Mathématiques,3
"1541_1560",Médecine et sciences médicales,2
"1561_1580",Astrologie,3
"1561_1580",Astronomie,7
"1561_1580",Clergé et théologiens,1
"1561_1580",Mathématiques,7
"1561_1580",Médecine et sciences médicales,1
"1561_1580",Philosophie,3
"1561_1580",Sciences physiques,2
"1561_1580",Sciences productives,1
"1581_1600",Astronomie,3
"1581_1600",Clergé et théologiens,2
"1581_1600",Mathématiques,2
"1581_1600",Médecine et sciences médicales,1
"1581_1600",Philosophie,1
"1581_1600",Sciences du vivant,1
"1581_1600",Sciences humaines/historiques,1
"1581_1600",Sciences physiques,1
"1601_1620",Astrologie,4
"1601_1620",Astronomie,5
"1601_1620",Chimie et alchimie,1
"1601_1620",Clergé et théologiens,2
"1601_1620",Mathématiques,11
"1601_1620",Médecine et sciences médicales,5
"1601_1620",Politique et militaire,3
"1601_1620",Sciences du vivant,1
"1601_1620",Sciences humaines/historiques,6
"1601_1620",Sciences physiques,4
"1601_1620",Sciences productives,1
"1621_1640",Astrologie,2
"1621_1640",Astronomie,4
"1621_1640",Mathématiques,8
"1621_1640",Médecine et sciences médicales,1
"1621_1640",Philosophie,2
"1621_1640",Sciences du vivant,2
"1621_1640",Sciences physiques,1
"1641_1660",Astronomie,3
"1641_1660",Chimie et alchimie,1
"1641_1660",Clergé et théologiens,1
"1641_1660",Mathématiques,6
"1641_1660",Philosophie,2
"1641_1660",Politique et militaire,1
"1641_1660",Sciences du vivant,1
"1641_1660",Sciences physiques,3
"1661_1680",Astronomie,5
"1661_1680",Mathématiques,6
"1661_1680",Sciences du vivant,1
"1661_1680",Sciences physiques,1
"1681_1700",Astronomie,5
"1681_1700",Clergé et théologiens,2
"1681_1700",Mathématiques,6
"1681_1700",Politique et militaire,1
"1681_1700",Sciences physiques,1
"1701_1720",Astronomie,9
"1701_1720",Clergé et théologiens,1
"1701_1720",Mathématiques,15
"1701_1720",Philosophie,2
"1701_1720",Sciences du vivant,3
"1701_1720",Sciences humaines/historiques,3
"1701_1720",Sciences physiques,7
"1701_1720",Sciences productives,1
"1721_1740",Astronomie,18
"1721_1740",Clergé et théologiens,1
"1721_1740",Mathématiques,14
"1721_1740",Philosophie,1
"1721_1740",Politique et militaire,1
"1721_1740",Sciences du vivant,2
"1721_1740",Sciences humaines/historiques,1
"1721_1740",Sciences occultes,1
"1721_1740",Sciences physiques,7
"1721_1740",Sciences productives,4
"1741_1760",Astronomie,9
"1741_1760",Chimie et alchimie,1
"1741_1760",Mathématiques,14
"1741_1760",Médecine et sciences médicales,1
"1741_1760",Politique et militaire,3
"1741_1760",Sciences humaines/historiques,1
"1741_1760",Sciences physiques,3
"1741_1760",Sciences productives,1
"1761_1780",Astronomie,7
"1761_1780",Clergé et théologiens,2
"1761_1780",Mathématiques,13
"1761_1780",Politique et militaire,1
"1761_1780",Sciences du vivant,3
"1761_1780",Sciences humaines/historiques,4
"1761_1780",Sciences physiques,2
"1761_1780",Sciences productives,4
