"label","o1","class"
"Alyssa A. Goodman","http://dbpedia.org/resource/Alyssa_A._Goodman",1
"Amy Mainzer","http://dbpedia.org/resource/Amy_Mainzer",1
"Anders Celsius","http://dbpedia.org/resource/Anders_Celsius",1
"Anders Jonas Ångström","http://dbpedia.org/resource/Anders_Jonas_Ångström",1
"Andrea M. Ghez","http://dbpedia.org/resource/Andrea_M._Ghez",1
"Andrew Fraknoi","http://dbpedia.org/resource/Andrew_Fraknoi",1
"Andrew Graham (astronomer)","http://dbpedia.org/resource/Andrew_Graham_(astronomer)",1
"Andrew Lyne","http://dbpedia.org/resource/Andrew_Lyne",1
"Andrew Siemion","http://dbpedia.org/resource/Andrew_Siemion",1
"Adrien Auzout","http://dbpedia.org/resource/Adrien_Auzout",1
"Alexandre Schaumasse","http://dbpedia.org/resource/Alexandre_Schaumasse",1
"Alfred Harrison Joy","http://dbpedia.org/resource/Alfred_Harrison_Joy",1
"Daniel Kirkwood","http://dbpedia.org/resource/Daniel_Kirkwood",1
"David Axon","http://dbpedia.org/resource/David_Axon",1
"David C. Jewitt","http://dbpedia.org/resource/David_C._Jewitt",1
"David Gill (astronomer)","http://dbpedia.org/resource/David_Gill_(astronomer)",1
"David J. Eicher","http://dbpedia.org/resource/David_J._Eicher",1
"David J. Lane (astronomer)","http://dbpedia.org/resource/David_J._Lane_(astronomer)",1
"David J. Stevenson","http://dbpedia.org/resource/David_J._Stevenson",1
"David L. Rabinowitz","http://dbpedia.org/resource/David_L._Rabinowitz",1
"David Naylor","http://dbpedia.org/resource/David_Naylor",1
"David Rittenhouse","http://dbpedia.org/resource/David_Rittenhouse",1
"Antonín Bečvář","http://dbpedia.org/resource/Antonín_Bečvář",1
"Antonín Mrkos","http://dbpedia.org/resource/Antonín_Mrkos",1
"Arjen Roelofs","http://dbpedia.org/resource/Arjen_Roelofs",1
"Dennis Walsh","http://dbpedia.org/resource/Dennis_Walsh",1
"Vera Rubin","http://dbpedia.org/resource/Vera_Rubin",1
"Viktor Knorre","http://dbpedia.org/resource/Viktor_Knorre",1
"Vincenzo Cerulli","http://dbpedia.org/resource/Vincenzo_Cerulli",1
"Vinod Johri","http://dbpedia.org/resource/Vinod_Johri",1
