"subject","predicate","object"
"http://dbpedia.org/resource/Alyssa_A._Goodman","http://dbpedia.org/ontology/birthDate",1962-07-01
"http://dbpedia.org/resource/Anders_Celsius","http://dbpedia.org/ontology/birthDate",1701-11-27
"http://dbpedia.org/resource/Anders_Jonas_Ångström","http://dbpedia.org/ontology/birthDate",1814-08-13
"http://dbpedia.org/resource/Andrea_M._Ghez","http://dbpedia.org/ontology/birthDate",1965-06-16
"http://dbpedia.org/resource/Andrew_Graham_(astronomer)","http://dbpedia.org/ontology/birthDate",1815-04-08
"http://dbpedia.org/resource/Andrew_Lyne","http://dbpedia.org/ontology/birthDate",1942-07-13
"http://dbpedia.org/resource/Andrew_Siemion","http://dbpedia.org/ontology/birthDate",1980-08-09
"http://dbpedia.org/resource/Daniel_Kirkwood","http://dbpedia.org/ontology/birthDate",1814-09-27
"http://dbpedia.org/resource/David_Gill_(astronomer)","http://dbpedia.org/ontology/birthDate",1843-06-12
"http://dbpedia.org/resource/David_J._Eicher","http://dbpedia.org/ontology/birthDate",1961-08-07
"http://dbpedia.org/resource/David_J._Stevenson","http://dbpedia.org/ontology/birthDate",1948-09-02
"http://dbpedia.org/resource/David_Naylor","http://dbpedia.org/ontology/birthDate",1954-10-26
"http://dbpedia.org/resource/David_Rittenhouse","http://dbpedia.org/ontology/birthDate",1732-04-08
"http://dbpedia.org/resource/Vera_Rubin","http://dbpedia.org/ontology/birthDate",1928-07-23
"http://dbpedia.org/resource/Viktor_Knorre","http://dbpedia.org/ontology/birthDate",1840-10-04
"http://dbpedia.org/resource/Vincenzo_Cerulli","http://dbpedia.org/ontology/birthDate",1859-04-20
"http://dbpedia.org/resource/Vinod_Johri","http://dbpedia.org/ontology/birthDate",1935-06-10
"http://dbpedia.org/resource/Vladimir_Shkodrov","http://dbpedia.org/ontology/birthDate",1930-02-10
"http://dbpedia.org/resource/Walter_Baade","http://dbpedia.org/ontology/birthDate",1893-03-24
"http://dbpedia.org/resource/Walter_Sydney_Adams","http://dbpedia.org/ontology/birthDate",1876-12-20
"http://dbpedia.org/resource/Dirk_Brouwer","http://dbpedia.org/ontology/birthDate",1902-09-01
"http://dbpedia.org/resource/Alastair_G._W._Cameron","http://dbpedia.org/ontology/birthDate",1925-06-21
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/birthDate",1879-03-14
"http://dbpedia.org/resource/Albert_Whitford","http://dbpedia.org/ontology/birthDate",1905-10-22
"http://dbpedia.org/resource/Aleksander_Wolszczan","http://dbpedia.org/ontology/birthDate",1946-04-29
"http://dbpedia.org/resource/Alex_Filippenko","http://dbpedia.org/ontology/birthDate",1958-07-25
"http://dbpedia.org/resource/Alexander_A._Gurshtein","http://dbpedia.org/ontology/birthDate",1937-02-21
"http://dbpedia.org/resource/Alexander_Dalgarno","http://dbpedia.org/ontology/birthDate",1928-01-05
"http://dbpedia.org/resource/Alexis_Bouvard","http://dbpedia.org/ontology/birthDate",1767-06-27
"http://dbpedia.org/resource/Alfred_Bohrmann","http://dbpedia.org/ontology/birthDate",1904-02-28
"http://dbpedia.org/resource/Alfred_Fowler","http://dbpedia.org/ontology/birthDate",1868-03-22
"http://dbpedia.org/resource/Arthur_Auwers","http://dbpedia.org/ontology/birthDate",1838-09-12
"http://dbpedia.org/resource/Arthur_Eddington","http://dbpedia.org/ontology/birthDate",1882-12-28
"http://dbpedia.org/resource/Asaph_Hall","http://dbpedia.org/ontology/birthDate",1829-10-15
"http://dbpedia.org/resource/August_Ferdinand_Möbius","http://dbpedia.org/ontology/birthDate",1790-11-17
"http://dbpedia.org/resource/Auguste_Charlois","http://dbpedia.org/ontology/birthDate",1864-11-26
"http://dbpedia.org/resource/Avi_Loeb","http://dbpedia.org/ontology/birthDate",1962-02-26
"http://dbpedia.org/resource/Axel_Firsoff","http://dbpedia.org/ontology/birthDate",1910-01-29
"http://dbpedia.org/resource/Beatriz_Barbuy","http://dbpedia.org/ontology/birthDate",1950-02-16
