"o1","bY","birthYear","import_metadata"
"http://dbpedia.org/resource/Abraham_Zacuto","http://dbpedia.org/ontology/birthYear",1452,"20221204_1"
"http://dbpedia.org/resource/Leonardo_da_Vinci","http://dbpedia.org/ontology/birthYear",1452,"20221204_1"
"http://dbpedia.org/resource/Johannes_Engel","http://dbpedia.org/ontology/birthYear",1453,"20221204_1"
"http://dbpedia.org/resource/Domenico_Maria_Novara_da_Ferrara","http://dbpedia.org/ontology/birthYear",1454,"20221204_1"
"http://dbpedia.org/resource/Scipione_del_Ferro","http://dbpedia.org/ontology/birthYear",1465,"20221204_1"
"http://dbpedia.org/resource/Nicolaus_Copernicus","http://dbpedia.org/ontology/birthYear",1473,"20221204_1"
"http://dbpedia.org/resource/Tiedemann_Giese","http://dbpedia.org/ontology/birthYear",1480,"20221204_1"
"http://dbpedia.org/resource/Heinrich_Cornelius_Agrippa","http://dbpedia.org/ontology/birthYear",1486,"20221204_1"
"http://dbpedia.org/resource/Matteo_Tafuri","http://dbpedia.org/ontology/birthYear",1492,"20221204_1"
"http://dbpedia.org/resource/Adam_Ries","http://dbpedia.org/ontology/birthYear",1492,"20221204_1"
"http://dbpedia.org/resource/Nicolaus_Olahus","http://dbpedia.org/ontology/birthYear",1493,"20221204_1"
"http://dbpedia.org/resource/Oronce_Finé","http://dbpedia.org/ontology/birthYear",1494,"20221204_1"
"http://dbpedia.org/resource/Gerolamo_Cardano","http://dbpedia.org/ontology/birthYear",1501,"20221204_1"
"http://dbpedia.org/resource/Nostradamus","http://dbpedia.org/ontology/birthYear",1503,"20221204_1"
"http://dbpedia.org/resource/Erasmus_Reinhold","http://dbpedia.org/ontology/birthYear",1511,"20221204_1"
"http://dbpedia.org/resource/Georg_Joachim_Rheticus","http://dbpedia.org/ontology/birthYear",1514,"20221204_1"
"http://dbpedia.org/resource/Jacques_Pelletier_du_Mans","http://dbpedia.org/ontology/birthYear",1517,"20221204_1"
"http://dbpedia.org/resource/Martin_Chemnitz","http://dbpedia.org/ontology/birthYear",1522,"20221204_1"
"http://dbpedia.org/resource/Lodovico_Ferrari","http://dbpedia.org/ontology/birthYear",1522,"20221204_1"
"http://dbpedia.org/resource/Peter_Agricola","http://dbpedia.org/ontology/birthYear",1525,"20221204_1"
"http://dbpedia.org/resource/Tadeáš_Hájek","http://dbpedia.org/ontology/birthYear",1525,"20221204_1"
"http://dbpedia.org/resource/John_Dee","http://dbpedia.org/ontology/birthYear",1527,"20221204_1"
"http://dbpedia.org/resource/Giambattista_Benedetti","http://dbpedia.org/ontology/birthYear",1530,"20221204_1"
"http://dbpedia.org/resource/Christopher_Clavius","http://dbpedia.org/ontology/birthYear",1538,"20221204_1"
"http://dbpedia.org/resource/Ludolph_van_Ceulen","http://dbpedia.org/ontology/birthYear",1540,"20221204_1"
"http://dbpedia.org/resource/Ostilio_Ricci","http://dbpedia.org/ontology/birthYear",1540,"20221204_1"
"http://dbpedia.org/resource/Tycho_Brahe","http://dbpedia.org/ontology/birthYear",1546,"20221204_1"
"http://dbpedia.org/resource/Rudolph_Snellius","http://dbpedia.org/ontology/birthYear",1546,"20221204_1"
"http://dbpedia.org/resource/Baha'_al-din_al-'Amili","http://dbpedia.org/ontology/birthYear",1547,"20221204_1"
"http://dbpedia.org/resource/John_Napier","http://dbpedia.org/ontology/birthYear",1550,"20221204_1"
"http://dbpedia.org/resource/Simon_Forman","http://dbpedia.org/ontology/birthYear",1552,"20221204_1"
"http://dbpedia.org/resource/Jost_Bürgi","http://dbpedia.org/ontology/birthYear",1552,"20221204_1"
"http://dbpedia.org/resource/Petrus_Ryff","http://dbpedia.org/ontology/birthYear",1552,"20221204_1"
"http://dbpedia.org/resource/Francis_Bacon","http://dbpedia.org/ontology/birthYear",1561,"20221204_1"
"http://dbpedia.org/resource/Christopher_Heydon","http://dbpedia.org/ontology/birthYear",1561,"20221204_1"
"http://dbpedia.org/resource/Henry_Briggs_(mathematician)","http://dbpedia.org/ontology/birthYear",1561,"20221204_1"
"http://dbpedia.org/resource/Christen_Sørensen_Longomontanus","http://dbpedia.org/ontology/birthYear",1562,"20221204_1"
"http://dbpedia.org/resource/Galileo_Galilei","http://dbpedia.org/ontology/birthYear",1564,"20221204_1"
"http://dbpedia.org/resource/Cort_Aslakssøn","http://dbpedia.org/ontology/birthYear",1564,"20221204_1"
