"o1","property","target","import_metadata"
"http://dbpedia.org/resource/Anders_Celsius","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Anders_Celsius","20221204_4"
"http://dbpedia.org/resource/David_Rittenhouse","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/David_Rittenhouse","20221204_4"
"http://dbpedia.org/resource/Alexis_Bouvard","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Alexis_Bouvard","20221204_4"
"http://dbpedia.org/resource/Benjamin_Banneker","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Benjamin_Banneker","20221204_4"
"http://dbpedia.org/resource/Franz_Xaver_von_Zach","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Franz_Xaver_von_Zach","20221204_4"
"http://dbpedia.org/resource/Galileo_Galilei","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Galilée_(savant)","20221204_4"
"http://dbpedia.org/resource/Samuel_Molyneux","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Samuel_Molyneux","20221204_4"
"http://dbpedia.org/resource/Willebrord_Snellius","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Willebrord_Snell","20221204_4"
"http://dbpedia.org/resource/William_Herschel","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/William_Herschel","20221204_4"
"http://dbpedia.org/resource/Antonio_de_Ulloa","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Antonio_de_Ulloa","20221204_4"
"http://dbpedia.org/resource/Erasmus_Reinhold","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Erasmus_Reinhold","20221204_4"
"http://dbpedia.org/resource/Giovanni_Battista_Riccioli","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Giovanni_Battista_Riccioli","20221204_4"
"http://dbpedia.org/resource/Giovanni_Domenico_Cassini","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Jean-Dominique_Cassini","20221204_4"
"http://dbpedia.org/resource/Giuseppe_Piazzi","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Giuseppe_Piazzi","20221204_4"
"http://dbpedia.org/resource/Godefroy_Wendelin","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Godefroy_Wendelin","20221204_4"
"http://dbpedia.org/resource/Jacques_Cassini","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Jacques_Cassini","20221204_4"
"http://dbpedia.org/resource/Jean-Louis_Pons","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Jean-Louis_Pons","20221204_4"
"http://dbpedia.org/resource/Jean_Sylvain_Bailly","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Jean_Sylvain_Bailly","20221204_4"
"http://dbpedia.org/resource/Maximilian_Hell","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Maximilien_Hell","20221204_4"
"http://dbpedia.org/resource/Regiomontanus","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Regiomontanus","20221204_4"
"http://dbpedia.org/resource/Nilakantha_Somayaji","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Nilakantha_Somayaji","20221204_4"
"http://dbpedia.org/resource/John_Michell","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/John_Michell","20221204_4"
"http://dbpedia.org/resource/John_Winthrop_(educator)","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/John_Winthrop_(astronome)","20221204_4"
"http://dbpedia.org/resource/Isaac_Newton","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Isaac_Newton","20221204_4"
"http://dbpedia.org/resource/Tycho_Brahe","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Tycho_Brahe","20221204_4"
"http://dbpedia.org/resource/Abraham_Zacuto","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Abraham_Zacuto","20221204_4"
"http://dbpedia.org/resource/Charles_Messier","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Charles_Messier","20221204_4"
"http://dbpedia.org/resource/Christiaan_Huygens","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Christian_Huygens","20221204_4"
"http://dbpedia.org/resource/Caroline_Herschel","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Caroline_Herschel","20221204_4"
"http://dbpedia.org/resource/Dominique,_comte_de_Cassini","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Jean-Dominique_Cassini_(1748-1845)","20221204_4"
"http://dbpedia.org/resource/Simon_Marius","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Simon_Marius","20221204_4"
"http://dbpedia.org/resource/César-François_Cassini_de_Thury","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/César-François_Cassini","20221204_4"
