"o1","property","str_label","import_metadata"
"http://dbpedia.org/resource/Abraham_Zacuto","http://www.w3.org/2000/01/rdf-schema#label","Abraham Zacuto","20221204_3"
"http://dbpedia.org/resource/Leonardo_da_Vinci","http://www.w3.org/2000/01/rdf-schema#label","Leonardo da Vinci","20221204_3"
"http://dbpedia.org/resource/Johannes_Engel","http://www.w3.org/2000/01/rdf-schema#label","Johannes Engel","20221204_3"
"http://dbpedia.org/resource/Domenico_Maria_Novara_da_Ferrara","http://www.w3.org/2000/01/rdf-schema#label","Domenico Maria Novara da Ferrara","20221204_3"
"http://dbpedia.org/resource/Scipione_del_Ferro","http://www.w3.org/2000/01/rdf-schema#label","Scipione del Ferro","20221204_3"
"http://dbpedia.org/resource/Nicolaus_Copernicus","http://www.w3.org/2000/01/rdf-schema#label","Nicolaus Copernicus","20221204_3"
"http://dbpedia.org/resource/Tiedemann_Giese","http://www.w3.org/2000/01/rdf-schema#label","Tiedemann Giese","20221204_3"
"http://dbpedia.org/resource/Heinrich_Cornelius_Agrippa","http://www.w3.org/2000/01/rdf-schema#label","Heinrich Cornelius Agrippa","20221204_3"
"http://dbpedia.org/resource/Matteo_Tafuri","http://www.w3.org/2000/01/rdf-schema#label","Matteo Tafuri","20221204_3"
"http://dbpedia.org/resource/Adam_Ries","http://www.w3.org/2000/01/rdf-schema#label","Adam Ries","20221204_3"
"http://dbpedia.org/resource/Nicolaus_Olahus","http://www.w3.org/2000/01/rdf-schema#label","Nicolaus Olahus","20221204_3"
"http://dbpedia.org/resource/Oronce_Finé","http://www.w3.org/2000/01/rdf-schema#label","Oronce Finé","20221204_3"
"http://dbpedia.org/resource/Gerolamo_Cardano","http://www.w3.org/2000/01/rdf-schema#label","Gerolamo Cardano","20221204_3"
"http://dbpedia.org/resource/Nostradamus","http://www.w3.org/2000/01/rdf-schema#label","Nostradamus","20221204_3"
"http://dbpedia.org/resource/Erasmus_Reinhold","http://www.w3.org/2000/01/rdf-schema#label","Erasmus Reinhold","20221204_3"
"http://dbpedia.org/resource/Georg_Joachim_Rheticus","http://www.w3.org/2000/01/rdf-schema#label","Georg Joachim Rheticus","20221204_3"
"http://dbpedia.org/resource/Jacques_Pelletier_du_Mans","http://www.w3.org/2000/01/rdf-schema#label","Jacques Pelletier du Mans","20221204_3"
"http://dbpedia.org/resource/Martin_Chemnitz","http://www.w3.org/2000/01/rdf-schema#label","Martin Chemnitz","20221204_3"
"http://dbpedia.org/resource/Lodovico_Ferrari","http://www.w3.org/2000/01/rdf-schema#label","Lodovico Ferrari","20221204_3"
"http://dbpedia.org/resource/Peter_Agricola","http://www.w3.org/2000/01/rdf-schema#label","Peter Agricola","20221204_3"
"http://dbpedia.org/resource/Tadeáš_Hájek","http://www.w3.org/2000/01/rdf-schema#label","Tadeáš Hájek","20221204_3"
"http://dbpedia.org/resource/John_Dee","http://www.w3.org/2000/01/rdf-schema#label","John Dee","20221204_3"
"http://dbpedia.org/resource/Giambattista_Benedetti","http://www.w3.org/2000/01/rdf-schema#label","Giambattista Benedetti","20221204_3"
"http://dbpedia.org/resource/Christopher_Clavius","http://www.w3.org/2000/01/rdf-schema#label","Christopher Clavius","20221204_3"
"http://dbpedia.org/resource/Ludolph_van_Ceulen","http://www.w3.org/2000/01/rdf-schema#label","Ludolph van Ceulen","20221204_3"
"http://dbpedia.org/resource/Ostilio_Ricci","http://www.w3.org/2000/01/rdf-schema#label","Ostilio Ricci","20221204_3"
"http://dbpedia.org/resource/Tycho_Brahe","http://www.w3.org/2000/01/rdf-schema#label","Tycho Brahe","20221204_3"
"http://dbpedia.org/resource/Rudolph_Snellius","http://www.w3.org/2000/01/rdf-schema#label","Rudolph Snellius","20221204_3"
