"subject_uri","property_uri","text_value","import_metadata"
"http://dbpedia.org/resource/Johannes_Engel","http://dbpedia.org/property/occupation","doctor, astronomer","20221211_2"
"http://dbpedia.org/resource/Tiedemann_Giese","http://dbpedia.org/property/occupation","Theologian author, Bishop of Chełmno, Prince-Bishop of Warmia","20221211_2"
"http://dbpedia.org/resource/Heinrich_Cornelius_Agrippa","http://dbpedia.org/property/occupation","Occult writer, theologian, physician, legal expert, and soldier","20221211_2"
"http://dbpedia.org/resource/Nicholas_Kratzer","http://dbpedia.org/property/occupation","Mathematician","20221211_2"
"http://dbpedia.org/resource/Nicholas_Kratzer","http://dbpedia.org/property/occupation","Astronomer","20221211_2"
"http://dbpedia.org/resource/Nicholas_Kratzer","http://dbpedia.org/property/occupation","Horologist","20221211_2"
"http://dbpedia.org/resource/Pedro_Nunes","http://dbpedia.org/property/occupation","Mathematician, cosmographer, and professor","20221211_2"
"http://dbpedia.org/resource/Nostradamus","http://dbpedia.org/property/occupation","Physician","20221211_2"
"http://dbpedia.org/resource/Nostradamus","http://dbpedia.org/property/occupation","author","20221211_2"
"http://dbpedia.org/resource/Nostradamus","http://dbpedia.org/property/occupation","translator","20221211_2"
"http://dbpedia.org/resource/Nostradamus","http://dbpedia.org/property/occupation","astrological consultant","20221211_2"
"http://dbpedia.org/resource/Hermann_Wilken","http://dbpedia.org/property/occupation","Humanist and Mathematician","20221211_2"
"http://dbpedia.org/resource/Peter_Agricola","http://dbpedia.org/property/occupation","Renaissance humanist, educator, classical scholar and theologian, diplomat and statesman, disciple of Martin Luther, friend and collaborator of Philipp Melanchthon","20221211_2"
"http://dbpedia.org/resource/Birbal","http://dbpedia.org/property/occupation","Main advisor in the Mughal court of Emperor Akbar","20221211_2"
"http://dbpedia.org/resource/Zhu_Zaiyu","http://dbpedia.org/property/occupation","Astronomer, historian, physicist, mathematician, choreographer, music theorist","20221211_2"
"http://dbpedia.org/resource/Tycho_Brahe","http://dbpedia.org/property/occupation","Astronomer, writer","20221211_2"
"http://dbpedia.org/resource/Simon_Stevin","http://dbpedia.org/property/occupation","scientist","20221211_2"
"http://dbpedia.org/resource/Simon_Stevin","http://dbpedia.org/property/occupation","Mathematician","20221211_2"
"http://dbpedia.org/resource/Simon_Stevin","http://dbpedia.org/property/occupation","music theorist","20221211_2"
"http://dbpedia.org/resource/Cesare_Ripa","http://dbpedia.org/property/occupation","Iconographer and scholar","20221211_2"
"http://dbpedia.org/resource/Cort_Aslakssøn","http://dbpedia.org/property/occupation","Astronomer, theologist and philosopher","20221211_2"
"http://dbpedia.org/resource/Tommaso_Campanella","http://dbpedia.org/property/occupation","Philosopher, theologian, astrologer, poet","20221211_2"
"http://dbpedia.org/resource/Claude_Gaspar_Bachet_de_Méziriac","http://dbpedia.org/property/occupation","Mathematician","20221211_2"
"http://dbpedia.org/resource/Kaspar_Uttenhofer","http://dbpedia.org/property/occupation","astronomer","20221211_2"
"http://dbpedia.org/resource/Ole_Worm","http://dbpedia.org/property/occupation","physician, natural historian and antiquary","20221211_2"
"http://dbpedia.org/resource/Vincentio_Reinieri","http://dbpedia.org/property/occupation","Mathematician, astronomer","20221211_2"
"http://dbpedia.org/resource/Juan_Caramuel_y_Lobkowitz","http://dbpedia.org/property/occupation","mathematician and theologian","20221211_2"
"http://dbpedia.org/resource/Lodovico_Buglio","http://dbpedia.org/property/occupation","Italian Jesuit active in China","20221211_2"
"http://dbpedia.org/resource/Honoré_Fabri","http://dbpedia.org/property/occupation","Mathematician, physicist, Jesuit theologian, controversialist","20221211_2"
"http://dbpedia.org/resource/John_Owen_(theologian)","http://dbpedia.org/property/occupation","Theologian, pastor, academic administrator","20221211_2"
"http://dbpedia.org/resource/Elias_Ashmole","http://dbpedia.org/property/occupation","antiquarian, politician, officer of arms, astrologer and alchemist","20221211_2"
"http://dbpedia.org/resource/René-François_de_Sluse","http://dbpedia.org/property/occupation","mathematician and churchman","20221211_2"
"http://dbpedia.org/resource/Giuseppe_Campani","http://dbpedia.org/property/occupation","Instrument maker","20221211_2"
"http://dbpedia.org/resource/Arthur_Storer","http://dbpedia.org/property/occupation","Gentleman, astronomer, and possibly apothecary","20221211_2"
"http://dbpedia.org/resource/Thomas_Pereira","http://dbpedia.org/property/occupation","Jesuit missionary, mathematician and scientist","20221211_2"
"http://dbpedia.org/resource/William_Molyneux","http://dbpedia.org/property/occupation","* Philosopher
* Member of Parliament","20221211_2"
"http://dbpedia.org/resource/Jacob_Bruce","http://dbpedia.org/property/occupation","Statesman, military leader and scientist","20221211_2"
"http://dbpedia.org/resource/Eustachio_Manfredi","http://dbpedia.org/property/occupation","Mathematician, astronomer and poet","20221211_2"
"http://dbpedia.org/resource/Gabriele_Manfredi","http://dbpedia.org/property/occupation","Mathematician","20221211_2"
"http://dbpedia.org/resource/Muhammad_Ibn_Muhammad_Al-Fulani_Al-Kishwani","http://dbpedia.org/property/occupation","Astronomer, Mathematician, Astrologer and Mystic","20221211_2"
"http://dbpedia.org/resource/Pedro_Vicente_Maldonado","http://dbpedia.org/property/occupation","Gentleman of the Camera","20221211_2"
"http://dbpedia.org/resource/Pedro_Vicente_Maldonado","http://dbpedia.org/property/occupation","Governor of the Emerald Province","20221211_2"
"http://dbpedia.org/resource/Pedro_Vicente_Maldonado","http://dbpedia.org/property/occupation","Horseman of the Golden Key","20221211_2"
