"subject_uri","property_uri","object_uri","label","import_metadata"
"http://dbpedia.org/resource/Johannes_Engel","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Estienne_de_La_Roche","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Heinrich_Cornelius_Agrippa","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Soldier","Soldier","20221201_1"
"http://dbpedia.org/resource/Heinrich_Cornelius_Agrippa","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Occult","Occult","20221201_1"
"http://dbpedia.org/resource/Heinrich_Cornelius_Agrippa","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physician","Physician","20221201_1"
"http://dbpedia.org/resource/Heinrich_Cornelius_Agrippa","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Theology","Theology","20221201_1"
"http://dbpedia.org/resource/Nicholas_Kratzer","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Nicholas_Kratzer","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Horology","Horology","20221201_1"
"http://dbpedia.org/resource/Nicholas_Kratzer","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Pedro_Nunes","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Cosmography","Cosmography","20221201_1"
"http://dbpedia.org/resource/Pedro_Nunes","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Pedro_Nunes","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Professor","Professor","20221201_1"
"http://dbpedia.org/resource/Nostradamus","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/Justus_Velsius","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Humanism","Humanism","20221201_1"
"http://dbpedia.org/resource/Justus_Velsius","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Humanist","Humanist","20221201_1"
"http://dbpedia.org/resource/Jacques_Pelletier_du_Mans","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Poet","Poet","20221201_1"
"http://dbpedia.org/resource/Jacques_Pelletier_du_Mans","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Renaissance_humanism","Renaissance humanism","20221201_1"
"http://dbpedia.org/resource/Jacques_Pelletier_du_Mans","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Jacques_Pelletier_du_Mans","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Renaissance_Humanism","Renaissance Humanism","20221201_1"
"http://dbpedia.org/resource/Hermann_Wilken","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Hermann_Wilken","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Humanism","Humanism","20221201_1"
"http://dbpedia.org/resource/Peter_Agricola","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Diplomat","Diplomat","20221201_1"
"http://dbpedia.org/resource/Peter_Agricola","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Renaissance_humanism","Renaissance humanism","20221201_1"
"http://dbpedia.org/resource/Peter_Agricola","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Teacher","Teacher","20221201_1"
"http://dbpedia.org/resource/Peter_Agricola","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Theology","Theology","20221201_1"
"http://dbpedia.org/resource/Birbal","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mughal_Empire","Mughal Empire","20221201_1"
"http://dbpedia.org/resource/Zhu_Zaiyu","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Choreography","Choreography","20221201_1"
"http://dbpedia.org/resource/Zhu_Zaiyu","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Historian","Historian","20221201_1"
"http://dbpedia.org/resource/Zhu_Zaiyu","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Zhu_Zaiyu","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Zhu_Zaiyu","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physicist","Physicist","20221201_1"
"http://dbpedia.org/resource/Tycho_Brahe","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Simon_Stevin","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Simon_Stevin","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Music_theory","Music theory","20221201_1"
"http://dbpedia.org/resource/Simon_Forman","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrologer","Astrologer","20221201_1"
"http://dbpedia.org/resource/Simon_Forman","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Alchemist","Alchemist","20221201_1"
"http://dbpedia.org/resource/Simon_Forman","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Alchemy","Alchemy","20221201_1"
"http://dbpedia.org/resource/Simon_Forman","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/Simon_Forman","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Medical_practitioner","Medical practitioner","20221201_1"
"http://dbpedia.org/resource/Simon_Forman","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physician","Physician","20221201_1"
"http://dbpedia.org/resource/Tommaso_Campanella","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/Tommaso_Campanella","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Philosopher","Philosopher","20221201_1"
"http://dbpedia.org/resource/Marino_Ghetaldi","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Marino_Ghetaldi","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physicist","Physicist","20221201_1"
"http://dbpedia.org/resource/Andrea_Argoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrologer","Astrologer","20221201_1"
"http://dbpedia.org/resource/Andrea_Argoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/Andrea_Argoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Andrea_Argoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Jurist","Jurist","20221201_1"
"http://dbpedia.org/resource/Andrea_Argoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Robert_Fludd","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrologer","Astrologer","20221201_1"
"http://dbpedia.org/resource/Robert_Fludd","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/Robert_Fludd","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physician","Physician","20221201_1"
"http://dbpedia.org/resource/Anne_Turner_(murderer)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Handmaiden","Handmaiden","20221201_1"
"http://dbpedia.org/resource/Anne_Turner_(murderer)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Maidservant","Maidservant","20221201_1"
"http://dbpedia.org/resource/Paul_Guldin","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Paul_Guldin","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Paul_Guldin","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Jesuits","Jesuits","20221201_1"
"http://dbpedia.org/resource/Paul_Guldin","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Jesuit","Jesuit","20221201_1"
"http://dbpedia.org/resource/Claude_Gaspar_Bachet_de_Méziriac","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Mario_Bettinus","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Scientist","Scientist","20221201_1"
"http://dbpedia.org/resource/Mario_Bettinus","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Mario_Bettinus","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Jesuits","Jesuits","20221201_1"
"http://dbpedia.org/resource/Mario_Bettinus","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Philosopher","Philosopher","20221201_1"
"http://dbpedia.org/resource/Mario_Bettinus","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Jesuit","Jesuit","20221201_1"
"http://dbpedia.org/resource/Kaspar_Uttenhofer","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Ole_Worm","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Natural_history","Natural history","20221201_1"
"http://dbpedia.org/resource/Ole_Worm","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Antiquarian","Antiquarian","20221201_1"
"http://dbpedia.org/resource/Ole_Worm","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physician","Physician","20221201_1"
"http://dbpedia.org/resource/Daniel_Hay_du_Chastelet_de_Chambon","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Historian","Historian","20221201_1"
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Dialectology","Dialectology","20221201_1"
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physicist","Physicist","20221201_1"
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Dialectologist","Dialectologist","20221201_1"
"http://dbpedia.org/resource/William_Lilly","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrologer","Astrologer","20221201_1"
"http://dbpedia.org/resource/William_Lilly","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/William_Lilly","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Author","Author","20221201_1"
"http://dbpedia.org/resource/William_Lilly","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Translator","Translator","20221201_1"
"http://dbpedia.org/resource/William_Lilly","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Translation","Translation","20221201_1"
"http://dbpedia.org/resource/Placidus_de_Titis","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrologer","Astrologer","20221201_1"
"http://dbpedia.org/resource/Placidus_de_Titis","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Monk","Monk","20221201_1"
"http://dbpedia.org/resource/Placidus_de_Titis","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/Placidus_de_Titis","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Placidus_de_Titis","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Ismaël_Bullialdus","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Vincentio_Reinieri","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Juan_Caramuel_y_Lobkowitz","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Vincentio_Reinieri","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Honoré_Fabri","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Honoré_Fabri","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physicist","Physicist","20221201_1"
"http://dbpedia.org/resource/Honoré_Fabri","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Jesuits","Jesuits","20221201_1"
"http://dbpedia.org/resource/Elias_Ashmole","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Alchemy","Alchemy","20221201_1"
"http://dbpedia.org/resource/Elias_Ashmole","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/Elias_Ashmole","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Officer_of_arms","Officer of arms","20221201_1"
"http://dbpedia.org/resource/Elias_Ashmole","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Antiquarian","Antiquarian","20221201_1"
"http://dbpedia.org/resource/Jean_Picard","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/René-François_de_Sluse","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/William_Ramsay_(astrologer)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrologer","Astrologer","20221201_1"
