s,label,birthDate,genLabel
"<http://www.wikidata.org/entity/Q12765268>","Elemír Csere",1917,"male"
"<http://www.wikidata.org/entity/Q97193482>","Свистунов Володимир Михайлович",1941,"male"
"<http://www.wikidata.org/entity/Q47453056>","Анатолий Брониславович Ринкевич",1950,"male"
"<http://www.wikidata.org/entity/Q4511380>","Anita Goel",1973,"female"
"<http://www.wikidata.org/entity/Q112432057>","Pavel Pešat",1963,"male"
"<http://www.wikidata.org/entity/Q4706857>","Alan Herries Wilson",1906,"male"
"<http://www.wikidata.org/entity/Q61552351>","Gerald E. Tauber",1922,"male"
"<http://www.wikidata.org/entity/Q95157297>","Kristian Svoboda",1931,"male"
"<http://www.wikidata.org/entity/Q18627816>","Elmārs Blūms",1936,"male"
"<http://www.wikidata.org/entity/Q47546469>","Arvind Kumar",1943,"male"
"<http://www.wikidata.org/entity/Q115532047>","Jose Gonzalez Cordova",1932,"male"
"<http://www.wikidata.org/entity/Q113716049>","Jan Cornelius Schmidt",1969,"male"
"<http://www.wikidata.org/entity/Q9382163>","Wladyslaw Opechowski",1911,"male"
"<http://www.wikidata.org/entity/Q6960903>","Nalin de Silva",1944,"male"
"<http://www.wikidata.org/entity/Q77203523>","Barry Blumenfeld",1947,"male"
"<http://www.wikidata.org/entity/Q3086054>","François Wesemael",1954,"male"
"<http://www.wikidata.org/entity/Q110223127>","Pierre Javet",1905,"male"
"<http://www.wikidata.org/entity/Q23023618>","George James Gibbs",1866,"male"
"<http://www.wikidata.org/entity/Q107264698>","Ingvild Julie Thue Jensen",1979,"female"
"<http://www.wikidata.org/entity/Q101826387>","Eun-Ah Kim",1975,"female"
"<http://www.wikidata.org/entity/Q60167219>","Yuri Golembiovsky",1937,"male"
"<http://www.wikidata.org/entity/Q16491266>","António Cabreira",1868,"male"
"<http://www.wikidata.org/entity/Q6128616>","Silvia Torres-Peimbert",1940,"female"
"<http://www.wikidata.org/entity/Q62072509>","Judith Desimoni",1956,"female"
"<http://www.wikidata.org/entity/Q282606>","Hiroshi Araki",1950,"male"
"<http://www.wikidata.org/entity/Q4369035>","Evghenii Pokatilov",1927,"male"
"<http://www.wikidata.org/entity/Q133091482>","Florian Schmid",1980,"male"
"<http://www.wikidata.org/entity/Q132731453>","Edward B. Manoukian",1945,"male"
"<http://www.wikidata.org/entity/Q1063791>","C. V. Boys",1855,"male"
"<http://www.wikidata.org/entity/Q52195429>","Konstantin Iosifovich Gringauz",1918,"male"
"<http://www.wikidata.org/entity/Q12332242>","Poul Thomsen",1923,"male"
"<http://www.wikidata.org/entity/Q3168701>","Jean-Paul Trachier",1925,"male"
"<http://www.wikidata.org/entity/Q48090874>","Norma Mankoč-Borštnik",1945,"female"
"<http://www.wikidata.org/entity/Q62122703>","Yvan Bruynseraede",1938,"male"
"<http://www.wikidata.org/entity/Q3157770>","Jacqueline Mitton",1948,"female"
"<http://www.wikidata.org/entity/Q28841899>","Ivo Kraus",1936,"male"
"<http://www.wikidata.org/entity/Q94404>","Karl Weissenberg",1893,"male"
"<http://www.wikidata.org/entity/Q93747150>","George B. Collins",1906,"male"
"<http://www.wikidata.org/entity/Q4054460>","Meyrkhan Murbakuly Abdildin",1938,"male"
"<http://www.wikidata.org/entity/Q7938602>","Vladimir Rojansky",1900,"male"
"<http://www.wikidata.org/entity/Q4752073>","Anatole Boris Volkov",1924,"male"
"<http://www.wikidata.org/entity/Q4095524>","Pyotr Boyarsky",1943,"male"
"<http://www.wikidata.org/entity/Q124026194>","Georges Waysand",1941,"male"
"<http://www.wikidata.org/entity/Q136659817>","Rémi Cabanac",1969,"male"
"<http://www.wikidata.org/entity/Q134776527>","Stanisław Rabiej",1953,"male"
"<http://www.wikidata.org/entity/Q110050834>","Manfred Steiner",1931,"male"
"<http://www.wikidata.org/entity/Q109729428>","Renato Spagnolo",1946,"male"
"<http://www.wikidata.org/entity/Q2150793>","Richard Vieweg",1896,"male"
"<http://www.wikidata.org/entity/Q108262>","Manfred R. Schroeder",1926,"male"
"<http://www.wikidata.org/entity/Q1299784>","Wolfgang Mückenheim",1949,"male"
"<http://www.wikidata.org/entity/Q11629276>","Atsuhiro Nishida",1936,"male"
"<http://www.wikidata.org/entity/Q19414005>","Maximilian Herzberger",1899,"male"
"<http://www.wikidata.org/entity/Q7377287>","Rudolf Podgornik",1955,"male"
"<http://www.wikidata.org/entity/Q10366319>","S. Caticha Ellis",1930,"male"
"<http://www.wikidata.org/entity/Q4275887>","Pyotr Makovetsky",1922,"male"
"<http://www.wikidata.org/entity/Q29363866>","Joseph Poliakoff",1873,"male"
"<http://www.wikidata.org/entity/Q921502>","William Chandler Roberts-Austen",1843,"male"
"<http://www.wikidata.org/entity/Q3807587>","Jean-Claude George Pelle",1942,"male"
"<http://www.wikidata.org/entity/Q12103107>","Amos Diachenko",1814,"male"
"<http://www.wikidata.org/entity/Q1308102>","Ernst O. Göbel",1946,"male"
"<http://www.wikidata.org/entity/Q78895953>","Tino Hofmann",1976,"male"
"<http://www.wikidata.org/entity/Q57912146>","Giuseppe Maino",1953,"male"
"<http://www.wikidata.org/entity/Q29613450>","Pavel Mayer",1932,"male"
"<http://www.wikidata.org/entity/Q9124452>","Xia Jianbai",1939,"male"
"<http://www.wikidata.org/entity/Q28500382>","Борис Самуилович Ратнер",1918,"male"
"<http://www.wikidata.org/entity/Q61476140>","Alexandre Gallotti",1892,"male"
"<http://www.wikidata.org/entity/Q22919355>","Surija Tatevjan",1937,"female"
"<http://www.wikidata.org/entity/Q112467690>","Robert Powell",1947,"male"
"<http://www.wikidata.org/entity/Q112486992>","Gernot Eberle",1962,"male"
"<http://www.wikidata.org/entity/Q125590049>","Wolfgang L. Reiter",1946,"male"
"<http://www.wikidata.org/entity/Q6791087>","Matthew Pothen Thekaekara",1914,"male"
"<http://www.wikidata.org/entity/Q112507942>","Jozef Ráheľ",1975,"male"
"<http://www.wikidata.org/entity/Q11169649>","Henry Hurwitz, Jr.",1918,"male"
"<http://www.wikidata.org/entity/Q11291132>","Ernst K. Zinner",1937,"male"
"<http://www.wikidata.org/entity/Q1818960>","Leonard Frank Cooling",1903,"male"
"<http://www.wikidata.org/entity/Q65150946>","Sergei Wiktorowitsch Iwanow",1960,"male"
"<http://www.wikidata.org/entity/Q102205439>","Hugo Bernard Wahlin",1894,"male"
"<http://www.wikidata.org/entity/Q1327847>","Elena Aprile",1954,"female"
"<http://www.wikidata.org/entity/Q21208997>","Henry G. Roe",1975,"male"
"<http://www.wikidata.org/entity/Q7151591>","Paul John Ellis",1941,"male"
"<http://www.wikidata.org/entity/Q166906>","Carlo Cercignani",1939,"male"
"<http://www.wikidata.org/entity/Q24005643>","Mark Williamson",1957,"male"
"<http://www.wikidata.org/entity/Q15993169>","Nikolai B. Kopnin",1946,"male"
"<http://www.wikidata.org/entity/Q124651374>","Aleksander Toompuu",1945,"male"
"<http://www.wikidata.org/entity/Q21165255>","James Desmond Caldwell McConnell",1930,"male"
"<http://www.wikidata.org/entity/Q1112069>","Ádám Kiss",1942,"male"
"<http://www.wikidata.org/entity/Q4143505>","Ivan Stepanovitsj Gorban",1928,"male"
"<http://www.wikidata.org/entity/Q120914621>","George E. Henry",1911,"male"
"<http://www.wikidata.org/entity/Q24938470>","Aleksandr T. Nikitaev",1945,"male"
"<http://www.wikidata.org/entity/Q102311993>","Pieter Jan Kaiser",1838,"male"
"<http://www.wikidata.org/entity/Q1281654>","Jean Meeus",1928,"male"
