"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_main","field_sec1","field_sec2","fk_person","notes"
1,http://www.wikidata.org/entity/Q1000193,astronomer,NA,NA,NA,NA,NA,1,
2,http://www.wikidata.org/entity/Q1000934,physicist,university-teacher,nuclear-physicist,NA,NA,NA,2,
3,http://www.wikidata.org/entity/Q100153910,physicist,university-teacher,NA,NA,NA,NA,3,
4,http://www.wikidata.org/entity/Q100155322,physicist,NA,NA,fluid-mechanics,nonlinear-dynamics,NA,4,
5,http://www.wikidata.org/entity/Q100157315,physicist,university-teacher,NA,NA,NA,NA,5,
6,http://www.wikidata.org/entity/Q100169285,NA,university-teacher,astrophysicist,physics,astrophysics,geophysics,6,
7,http://www.wikidata.org/entity/Q100210668,physicist,NA,NA,NA,NA,NA,7,
8,http://www.wikidata.org/entity/Q100212,physicist,university-teacher,NA,NA,NA,NA,8,
9,http://www.wikidata.org/entity/Q100216,physicist,university-teacher,NA,physics,medical-physics,computed-tomography,9,
10,http://www.wikidata.org/entity/Q1002250,physicist,university-teacher,NA,condensed-matter-physics,NA,NA,10,
11,http://www.wikidata.org/entity/Q100231,physicist,university-teacher,politician,physics,politics,NA,11,
12,http://www.wikidata.org/entity/Q100233642,physicist,nuclear-physicist,NA,NA,NA,NA,12,
13,http://www.wikidata.org/entity/Q100234663,physicist,academic,NA,macromolecule,NA,NA,13,
14,http://www.wikidata.org/entity/Q100235063,physicist,nuclear-physicist,teacher,NA,NA,NA,14,
15,http://www.wikidata.org/entity/Q100235232,physicist,NA,NA,plasma,laser-induced-fluorescence,NA,15,
16,http://www.wikidata.org/entity/Q100258349,astronomer,mathematician,writer,NA,NA,NA,16,
17,http://www.wikidata.org/entity/Q100265084,physicist,university-teacher,researcher,quantum-field-theory,NA,NA,17,
18,http://www.wikidata.org/entity/Q100271095,physicist,NA,NA,NA,NA,NA,18,
19,http://www.wikidata.org/entity/Q100271511,physicist,NA,NA,NA,NA,NA,19,
20,http://www.wikidata.org/entity/Q100273146,astronomer,NA,NA,NA,NA,NA,20,
21,http://www.wikidata.org/entity/Q100276378,astronomer,scientist,NA,galaxy,star,interstellar-matter,21,
22,http://www.wikidata.org/entity/Q100276563,astronomer,NA,NA,NA,NA,NA,22,
23,http://www.wikidata.org/entity/Q100276765,physicist,NA,NA,NA,NA,NA,23,
24,http://www.wikidata.org/entity/Q100278428,physicist,NA,NA,NA,NA,NA,24,
25,http://www.wikidata.org/entity/Q100281884,physicist,university-teacher,NA,polymer-science,NA,NA,25,
26,http://www.wikidata.org/entity/Q100303169,physicist,university-teacher,meteorologist,NA,NA,NA,26,
27,http://www.wikidata.org/entity/Q100308113,physicist,NA,NA,NA,NA,NA,27,
28,http://www.wikidata.org/entity/Q100328369,physicist,professor,oceanographer,NA,NA,NA,28,
29,http://www.wikidata.org/entity/Q100333052,physicist,NA,NA,NA,NA,NA,29,
30,http://www.wikidata.org/entity/Q100348038,physicist,university-teacher,nuclear-physicist,NA,NA,NA,30,
