"pk_person_features","person_uri","occupation_main","occupation_sec1","coded_employer"
2,http://www.wikidata.org/entity/Q1000934,physicist,university-teacher,education
3,http://www.wikidata.org/entity/Q100153910,physicist,university-teacher,education
5,http://www.wikidata.org/entity/Q100157315,physicist,university-teacher,university
8,http://www.wikidata.org/entity/Q100212,physicist,university-teacher,publisher
9,http://www.wikidata.org/entity/Q100216,physicist,university-teacher,institute
10,http://www.wikidata.org/entity/Q1002250,physicist,university-teacher,education
11,http://www.wikidata.org/entity/Q100231,physicist,university-teacher,institute
13,http://www.wikidata.org/entity/Q100234663,physicist,academic,institute
17,http://www.wikidata.org/entity/Q100265084,physicist,university-teacher,education
21,http://www.wikidata.org/entity/Q100276378,astronomer,scientist,institute
25,http://www.wikidata.org/entity/Q100281884,physicist,university-teacher,education
28,http://www.wikidata.org/entity/Q100328369,physicist,professor,institute
30,http://www.wikidata.org/entity/Q100348038,physicist,university-teacher,publisher
43,http://www.wikidata.org/entity/Q100456,physicist,university-teacher,university
44,http://www.wikidata.org/entity/Q100459,physicist,university-teacher,education
57,http://www.wikidata.org/entity/Q100592147,physicist,researcher,publisher
59,http://www.wikidata.org/entity/Q100592372,physicist,professor,institute
61,http://www.wikidata.org/entity/Q100644752,astronomer,university-teacher,university
64,http://www.wikidata.org/entity/Q100690,physicist,university-teacher,institute
65,http://www.wikidata.org/entity/Q100694,physicist,university-teacher,publisher
73,http://www.wikidata.org/entity/Q100746,physicist,university-teacher,other
75,http://www.wikidata.org/entity/Q100752551,astronomer,researcher,facility
76,http://www.wikidata.org/entity/Q100752627,astronomer,researcher,institute
79,http://www.wikidata.org/entity/Q100855,physicist,university-teacher,institute
85,http://www.wikidata.org/entity/Q100891367,physicist,university-teacher,education
88,http://www.wikidata.org/entity/Q100914,physicist,university-teacher,college
90,http://www.wikidata.org/entity/Q100916604,physicist,university-teacher,education
91,http://www.wikidata.org/entity/Q100935165,physicist,university-teacher,education
94,http://www.wikidata.org/entity/Q100949981,astronomer,university-teacher,education
95,http://www.wikidata.org/entity/Q1009503,physicist,university-teacher,education
97,http://www.wikidata.org/entity/Q100978619,astronomer,cosmologist,education
98,http://www.wikidata.org/entity/Q101014952,physicist,university-teacher,education
100,http://www.wikidata.org/entity/Q101063334,astronomer,engineer,education
103,http://www.wikidata.org/entity/Q101069813,astronomer,university-teacher,publisher
104,http://www.wikidata.org/entity/Q101076,astronomer,university-teacher,publisher
105,http://www.wikidata.org/entity/Q101079839,physicist,teacher,school
106,http://www.wikidata.org/entity/Q101083465,physicist,mechanical-engineer,organization
132,http://www.wikidata.org/entity/Q101245642,physicist,university-teacher,publisher
134,http://www.wikidata.org/entity/Q1012720,physicist,engineer,publisher
135,http://www.wikidata.org/entity/Q101364232,physicist,university-teacher,university
141,http://www.wikidata.org/entity/Q101550,physicist,university-teacher,publisher
143,http://www.wikidata.org/entity/Q101562988,physicist,university-teacher,publisher
146,http://www.wikidata.org/entity/Q101728,physicist,university-teacher,education
148,http://www.wikidata.org/entity/Q101869,physicist,university-teacher,institute
150,http://www.wikidata.org/entity/Q102021355,physicist,university-teacher,education
152,http://www.wikidata.org/entity/Q102054,physicist,university-teacher,publisher
153,http://www.wikidata.org/entity/Q102065,physicist,scientist,school
156,http://www.wikidata.org/entity/Q102077323,physicist,university-teacher,university
159,http://www.wikidata.org/entity/Q102078022,physicist,university-teacher,education
162,http://www.wikidata.org/entity/Q102084095,physicist,university-teacher,education
163,http://www.wikidata.org/entity/Q102084787,physicist,computer-scientist,institute
167,http://www.wikidata.org/entity/Q102087,physicist,university-teacher,publisher
168,http://www.wikidata.org/entity/Q102104,physicist,university-teacher,publisher
172,http://www.wikidata.org/entity/Q102110691,physicist,mathematician,university
174,http://www.wikidata.org/entity/Q102111159,physicist,mathematician,education
178,http://www.wikidata.org/entity/Q102112063,physicist,university-teacher,education
179,http://www.wikidata.org/entity/Q102113648,physicist,university-teacher,institute
182,http://www.wikidata.org/entity/Q102115460,physicist,nuclear-physicist,education
183,http://www.wikidata.org/entity/Q102115461,physicist,university-teacher,education
184,http://www.wikidata.org/entity/Q102115511,physicist,university-teacher,university
187,http://www.wikidata.org/entity/Q102116365,physicist,university-teacher,education
188,http://www.wikidata.org/entity/Q102116366,physicist,university-teacher,education
190,http://www.wikidata.org/entity/Q102116638,physicist,university-teacher,education
198,http://www.wikidata.org/entity/Q102119328,physicist,university-teacher,education
203,http://www.wikidata.org/entity/Q102121713,physicist,university-teacher,university
208,http://www.wikidata.org/entity/Q102123134,physicist,university-teacher,publisher
212,http://www.wikidata.org/entity/Q102123234,physicist,university-teacher,university
215,http://www.wikidata.org/entity/Q102123663,physicist,university-teacher,publisher
218,http://www.wikidata.org/entity/Q102124015,physicist,university-teacher,university
222,http://www.wikidata.org/entity/Q102124608,physicist,university-teacher,education
229,http://www.wikidata.org/entity/Q102130535,physicist,university-teacher,education
230,http://www.wikidata.org/entity/Q102141637,physicist,theorist,institute
231,http://www.wikidata.org/entity/Q102144455,physicist,university-teacher,education
235,http://www.wikidata.org/entity/Q102156210,physicist,mathematician,university
237,http://www.wikidata.org/entity/Q102158256,astronomer,mathematician,education
